Epoch : 1, Accuracy : 1.0
Epoch : 2, Accuracy : 1.0
Epoch : 3, Accuracy : 1.0
Epoch : 4, Accuracy : 1.0
Epoch : 5, Accuracy : 1.0
Epoch : 6, Accuracy : 1.0
Epoch : 7, Accuracy : 1.0
Epoch : 8, Accuracy : 1.0
Epoch : 9, Accuracy : 1.0
Epoch : 10, Accuracy : 1.0
Epoch : 11, Accuracy : 1.0
Epoch : 12, Accuracy : 1.0
Epoch : 13, Accuracy : 1.0
Epoch : 14, Accuracy : 1.0
Epoch : 15, Accuracy : 1.0
Epoch : 16, Accuracy : 1.0
Epoch : 17, Accuracy : 1.0
Epoch : 18, Accuracy : 1.0
Epoch : 19, Accuracy : 1.0
Epoch : 20, Accuracy : 1.0
Epoch : 21, Accuracy : 1.0
Epoch : 22, Accuracy : 1.0
Epoch : 23, Accuracy : 1.0
Epoch : 24, Accuracy : 1.0
Epoch : 25, Accuracy : 1.0
Epoch : 26, Accuracy : 1.0
Epoch : 27, Accuracy : 1.0
Epoch : 28, Accuracy : 1.0
Epoch : 29, Accuracy : 1.0
Epoch : 30, Accuracy : 1.0
